Designator,Mid X,Mid Y,Rotation,Layer
C1,76.225,-84.875,270.0,top
C10,71.6,-79.825,0.0,top
C11,68.475,-79.825,180.0,top
C12,73.125,-81.575,0.0,top
C13,35.85,-97.45,0.0,top
C14,42.65,-102.8,180.0,top
C15,42.65,-100.65,180.0,top
C16,35.85,-99.35,0.0,top
C17,37.625,-107.0,0.0,top
C18,52.4,-99.175,180.0,top
C19,38.1,-110.8,90.0,top
C2,72.85,-96.9,180.0,top
C20,49.75,-96.925,270.0,top
C21,51.55,-91.25,180.0,top
C3,60.875,-92.825,90.0,top
C4,60.875,-86.75,90.0,top
C5,59.0,-92.85,90.0,top
C6,66.5,-81.575,0.0,top
C7,65.225,-79.8,0.0,top
C8,61.5,-82.25,90.0,top
C9,83.9,-104.25,270.0,top
CAN,81.745,-74.725,180.0,top
CANH,79.12,-79.1,0.0,top
CANL,84.42,-79.95,0.0,top
D1,59.8,-77.1,0.0,top
D2,41.225,-105.625,0.0,top
D3,51.5,-101.6375,270.0,top
D4,81.77,-80.3,270.0,top
D5,50.3,-77.1,0.0,top
D6,35.565,-94.0,0.0,top
D7,55.05,-77.1,180.0,top
D8,83.9,-96.2,270.0,top
D9,83.9,-100.6,90.0,top
FB1,63.4,-82.25,90.0,top
GPIO,50.175,-74.0,90.0,top
I2C,59.5,-110.4,0.0,top
J2,71.025,-107.05,0.0,top
J5,45.20575,-82.25,0.0,top
J8,35.96625,-84.8,90.0,top
J9,45.10575,-87.3,0.0,top
L1,44.7,-95.6,0.0,top
R1,76.125,-91.425,90.0,top
R10,78.1,-84.9,270.0,top
R11,82.0,-96.25,90.0,top
R12,82.0,-100.2,90.0,top
R13,44.7,-105.625,180.0,top
R14,53.175,-101.625,270.0,top
R15,60.175,-89.1,180.0,top
R16,55.55,-92.6875,90.0,top
R2,81.8875,-83.3,0.0,top
R3,33.225,-103.25,270.0,top
R4,38.425,-103.25,90.0,top
R5,40.525,-111.525,180.0,top
R6,34.9,-110.8,270.0,top
R7,36.5,-110.8,90.0,top
R8,59.55,-105.95,180.0,top
R9,58.7,-104.35,180.0,top
SCL,61.6,-98.7,0.0,top
SDA,64.95,-98.7,0.0,top
SWD,86.5,-99.45,0.0,top
U1,68.625,-89.325,180.0,top
U2,81.905,-88.025,0.0,top
U3,35.85,-104.0375,90.0,top
U4,52.4,-96.1375,90.0,top
U5,70.625,-100.4625,90.0,top
UART,57.0,-74.0,270.0,top
Y1,70.85,-77.225,180.0,top
